section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_birthday,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_car,user_about,user_member_type
Jaguar / Land Rover,Preview: Production ready Jaguar XF,post-154596,"Feb 22, 2007",Choleric,I am guessing these are photoshops or CGIs?,#2,,,Great Plains,NA,NA,"3,764","1,770","A4,Audi 90 S,S8",,NA
Jaguar / Land Rover,Jaguar XK gets people-friendly,post-12136,"Nov 5, 2005",wltsm,"[image no longer available] [image no longer available],Jaguar has revealed further details of its new XK coupe’s safety innovation: the Pyrotechnic Pedestrian Deployable Bonnet.,This world-first system uses sensors in the front bumper to detect an impending collision with a pedestrian – the sensors are able to distinguish between different obstacles such as traffic cones, footballs or humans - and triggers the pyrotechnic charge that lifts the bonnet up within 0.03sec to act as a cushion to support the stricken pedestrian as they fall onto the bonnet.,This isn’t the only ‘non-occupant’ safety system the company has been working on. The car also features a passive bumper which has foam within the outer plastic casing.,The safety systems will be offered as standard on both convertible and coupe models being when they go on sale next year.,Source = Autocar",#1,,"Aug 29, 1989
										
											(Age: 33)",England,NA,Student,"4,630",534,,"From GCF,Cars, Electronic products",NA
Jaguar / Land Rover,2006 Arden Range Rover Sport,post-9803,"Oct 29, 2005",Snake Vargas,"I also much prefer the stock RR Sport, it's one of my favourite SUVs.  I second what you say, Luwalira - ML probably second, then X5 still looks ok.  Though I don't like the Cayenne.  Other SUVs I like are the Discoverey 3 and the Volvo XC90.,The clean lines of the RR Sport are what I like, and this kit ruins that.  Overdone.  The only modification I would have liked (but they don't have) is a tastefully done mesh front grille, like with the mesh from the side vents.  I don't like the standard three-bar thing with perforations.",#15,,"Mar 6, 1980
										
											(Age: 43)","Sydney, NSW, Australia",NA,NA,"1,251",20,,Mainly cars and computers,NA
Jaguar / Land Rover,2006 Arden Range Rover Sport,post-9704,"Oct 28, 2005",Sayyaaf,same here ... but I wouldn't mind eingine upgrades ..,#14,,"Aug 30, 1982
										
											(Age: 40)",UAE,Male,Director,"5,259","3,920","991.2 Gt3,991 GTS,Panamera 4S,BMW X6 35i,BMW E66 750Li,BMW M5 F10,Cayman S 981,Classic Porsches",,NA
Jaguar / Land Rover,Beautiful 2006 Jaguar XK pics,post-12031,"Nov 5, 2005",Yperion,"The front has some connection to Ford Taurus or is it me:,Anyway XK is growing on me. Perhaps i will like it someday.",#2,,"Jan 2, 1975
										
											(Age: 48)",Greece,NA,Air Traffic Controller,"9,320","2,393","2008 Nissan X-Trail,2004 Audi A4 1.8T,2001 Audi A3 1.6,Lamborghini Gallardo","germancarforum fanatic,Football, Basketball , Video Games and Cars,Why are we afraid of tomorrow when today is all we have?",NA
Motorsports,Audi R15 spyshots,post-364832,"Feb 12, 2009",Imhotep Evil,"From Sport auto and autosport:,[image no longer available],[image no longer available],A beauty, look how slim the rear is.",#1,,"Jul 7, 1983
										
											(Age: 39)",NA,NA,NA,"4,993",513,,cars. IT. Champions League,NA
Motorsports,Audi R15 spyshots,post-366182,"Feb 18, 2009",Mockenrue,Very detailed analysis here:,#8,,,"London, UK",NA,Analyst/Programmer,338,247,Audi R8,"Cars, music, high end audio",NA
Motorsports,New American F1 Team set to Join the Grid in 2010,post-367759,"Feb 25, 2009",saler13,"Until US drivers are carting fanatics by 8 years old, glued to the TV watching F1 races at 8 am and embrace technology in racing there will not be another US F1 point scorer.,Want to see the future of F1 ?,Keep your eyes on Sebastien Vettel !!!",#9,,,"Thunder Bay, Ontario",NA,Sales Consultant,8,12,SLR Stirling Moss,"17 years working with Mercedes-Benz,F1 Racing, football, sailing, swimming, biking",NA
Motorsports,New American F1 Team set to Join the Grid in 2010,post-367753,"Feb 25, 2009",EnI,The rumors goes the USF1 team will bring the first female racer into  the F1 circus: Danica Patrick.,#7,,NA,NA,Male,NA,"14,030","12,867",,,NA
Motorsports,Audi R15 spyshots,post-365560,"Feb 15, 2009",Tumbo,,#7,,"Jan 9, 1981
										
											(Age: 42)",Doha,Male,"Athlete, Music video director, Coach","7,753","3,859","Audi Q5 3.2 Quattro -10,Audi A4 Turbo (300hp) -01,* Audi A3 1.8T 214hp -01,* Audi A3 1.8T - 00,Audi SQ5, R8, S8, RS4 B7, RS5, S5, TT-RS","Audi/MB/VW/Lambo fan,(lived in Sweden for 20 years, born in Poland,Audi Q5 3.2 Quattro -10 Audi A4 Turbo 300hp -01",NA
Motorsports,Analysis - top teams pass notes to improve overtaking,post-335880,"Oct 6, 2008",Family Guy,"The 2009 Formula One season could see a lot more passing manoeuvres thanks to a unique collaboration between three of the sport’s leading teams. Backed by the FIA, top design engineers from Ferrari, McLaren and Renault worked together to help frame changes to the aerodynamic regulations that should make overtaking far less of a rarity.,Under current regulations, a driver typically needs to be as much as two seconds a lap faster than the car in front to have a realistic chance of passing. That should be cut to around a second next year thanks to a host of bodywork changes, including wider front wings that can be adjusted by the driver from the cockpit - a Formula One first.,Instigated by the FIA at the beginning of 2007, the Overtaking Working Group (OWG) - comprising Ferrari’s Rory Byrne, McLaren’s Paddy Lowe and Renault’s Pat Symonds - used McLaren’s advanced Formula One simulator to evaluate overtaking at Turn 1 of the old Barcelona circuit. Having established the existing ‘two seconds per lap’ requirement, they set about cutting that in half through aerodynamic changes.,They quickly learned that previous FIA proposals aimed at increasing overtaking, in particular the planned Centreline Downwash Generating (CDG) rear wing, had some major flaws. Utilising a conventional wind tunnel rather than computer-based Computational Fluid Dynamics, they instead came up with a series of new measures which should guarantee the desired effect.,The most obvious changes to the cars will be a taller and narrower rear wing, a shorter rear diffuser, and the loss of bodywork appendages such as deflectors, winglets and chimneys. Perhaps the most interesting revision, however, is to the front wing, which will become much wider. It will also be Formula One racing’s first (legal) moveable aerodynamic device, with the driver able to fine tune its settings from the cockpit.,“The flap will be controlled and monitored by the standard ECU,” explains OWG member Paddy Lowe. “The software in this unit is FIA-controlled, so it will only allow two adjustments per lap. The number of settings available to the driver will be up to the team, but the maximum flap angle range is +/- 3 degrees (i.e. 6 degrees total), so probably a team might provide one-degree steps.”,Having achieved their target of the ‘one second per lap’ requirement, it remains to be seen how the OWG’s measures will perform during an actual Grand Prix. Have they got the balance right? After all, many will rightly argue that overtaking in Formula One - the world’s premier motorsport series -,be difficult.,“In my view the reduction from two seconds to one is a very big and important step,” says Lowe. “We may indeed find that this is sufficient. Clearly a zero second per lap differential is nonsensical, so it is not as though we only made half the necessary progress! I also do not believe we want to make overtaking trivial if your car is at all faster - i.e. if we reduced that same number to 0.2sec/lap, say, then it would almost guarantee that any faster car could overtake any slower car without delay - a really quite boring prospect.”,It’s clear the changes should make for even more exciting racing, but that doesn’t mean they will make life any easier for the drivers. They already have a myriad of controls to deal with from the cockpit and next year will see the addition of not only adjustable wings but also KERS, the Kinetic Energy Recovery System (which could also boost overtaking).,As Lowe succinctly puts it, “Switch 'real estate' on the steering wheel is becoming as difficult to find as it is in the cockpit of a 747!”",#1,,,"Melbourne, Australia",NA,NA,177,20,Audi R8 V12 TDI,,NA
Motorsports,"Petit LeMans-Road Atlanta-Oct 3-4,2008 Vids and Pic's",post-336233,"Oct 7, 2008",Palbay,"Hey guys I attended the Petit LeMans in Atlanta this past weekend.The ALMS is a great Series.The Peugeot 908 was there....only the second time it has raced in the States.The vids are mainly for the audio.You can hear the roar of the bigger displacement V8's and the higher revving smaller V8's scream.Pages 1-3 are me walking through the Paddock Friday night after practice.Pages 4-12 are during the race on Sat.Checkout Page 11,the start of the night shots.Got a few pic's of red hot brake rotors and blue exhaust flames! Pages 13-16 are after the race and walking through the Paddock Sat night.Got some good pic's of the winning Corvette and drivers on the last couple of pages.The easiest way to navigate the Gallery is to use the down arrow on the left side and preview the thumbnails.Enjoy! Thanks! PalBay",#1,,,"Greenville,SC",NA,Real Estate Development,606,"1,450","2007 BMW X3,Cadillac SRX/Infiniti G35x/,Audi A4 Avant,BMW X6",,NA
Motorsports,2008 German Grand Prix,post-318325,"Jul 22, 2008",castagna,"McLaren did the right thing, the problem is that they are a bunch of hypocrites, that say one thing and do another. And you are starting to sound like Ron Dennis.",#55,post: 318087,NA,NA,NA,NA,219,77,,,NA
Motorsports,Drive the Ferrari F1 car.... in GT5 Prologue!,post-285763,"Mar 14, 2008",Rengoku,"Sorry if I'm too excited, but this news just blew my mind.",#1,,"Mar 21, 1984
										
											(Age: 39)","Toronto, Canada",NA,NA,65,61,,,NA
Motorsports,"BARCELONA, Spain - Lewis Hamilton endured racist taunts from spectators at Formula On",post-274189,"Feb 4, 2008",pablodav,"Hey, i am from Spain, and I am a fan of Alonso, but i am not racist. There are small groups of people that have nothing to do but shouting and behave like animals, like in other countries (what about the hooligans when they come to Spain). It is always the same, because of a few misrable people do that, all the spainards are like them. I dont think so. I like Alonso, I dislike Hamilton but I respect him.",#15,,,"Madrid, Spain",NA,NA,39,51,"VW Eos 2.0 FSI,Mercedes E270 CDI,There are a lot",,NA
Motorsports,Porsche 962 Le Mans by Dauer Picture Thread,post-273843,"Feb 3, 2008",drronh,"Even if you had the money, you would have to find one for sale.",#3,,,"Naples, Florida",NA,NA,500,158,"RS4 Cab, 997GT3 RS, C6Z06, 3500 Ram dually, 996GT3, Viper GTS, 993TT, turbo 3.6, 9000 aero, 930, 916, 914-6 GT,ML500, Gallardo, 996C4S, allroad, Cooper S, C5Z06, Passat GLX, 500SEL...","Current: RS4 Cab, 997GT3 RS, C6Z06, 3500 Ram dually, 996GT3, Viper GTS, 993TT, turbo 3.6, 9000 aero, 930, 916, 914-6 GT,Gone: ML500, Gallardo, 996C4S, allroad, Cooper S, C5Z06, Passat GLX, 500SEL...",NA
Motorsports,2007 Bmw F1.07,post-139790,"Jan 16, 2007",go0gle,"They should consider this for the F1.08 or maybe they can do a ""facelift"" during this season",#15,,"Jan 11, 1984
										
											(Age: 39)","Santa Cruz,ca",NA,NA,332,309,,,NA
Motorsports,2007 Bmw F1.07,post-139911,"Jan 16, 2007",Lateralus,Check out the overalls (hint->BMW logo)... Someone messed up big time.,#24,post: 139897,"Mar 11, 1981
										
											(Age: 42)",NA,NA,NA,13,13,,,NA
Motorsports,DTM final race @ Hockenheimring! (Fitty Six Kays chillax),post-241303,"Oct 15, 2007",Alok,"I got a surprise invite to go to DTM on sunday. Due to some late reservation, we got a seat at Tribune C, with a fence around. I was right on the outside of a hairpin called the Sachs Kurve.,Turning Focal Planes, bring it on!",#1,,,"Bruchsal, Deutschland",NA,NA,111,151,,,NA
Motorsports,2007 LeMans Thread,post-198331,"Jun 17, 2007",Lemantech,"its sucks that number 2 audi with kristensen and mcnish crashed but im really happy for the ""older"" boys in the number 1 audi.",#19,,,London,Male,Doc,972,58,"None at the moment.,MK5 GTI,Singer 911",,NA
Motorsports,Jackie Stewart calls on Mosley to quit,post-241905,"Oct 16, 2007",RikfromBelgium,"all due respect, but jackie stewart should just shut up",#5,,"Jul 14, 1984
										
											(Age: 38)",NA,NA,NA,"1,763",796,,FREUDE,NA
Motorsports,2007 LeMans Thread,post-223241,"Aug 28, 2007",Habitual Speeder,"Photos I took at the ALMS weekend at Mosport, this past weekend.,Normally, I'd've taken more photos, but I had a girl with me...,Note to self:  Don't bring a girl you're interested in to a race track...even if she's a race fan.",#40,,,"Ottawa, Canada",NA,NA,"1,396",319,"Own: 2005 Honda Civic SE,Drive: Whatever I decide to take off the lot","""Why is one driver faster than another? He's got more confidence. Sometimes, he gets it by over-riding certain fears & getting away with it. That lures you on."" - Mario Andretti",NA
Motorsports,"'Ring visit, the third installment",post-215018,"Aug 3, 2007",NTT,Thanks for such a wonderful collection of pictures.,#7,,,UK,Male,NA,394,252,"2019 AMG  C63S Coupe  VW Polo, BMW 2 series,GLA 250 4Matic, W204 C280, 2017 C63 Coupe.,AMG GT-R",,NA
Motorsports,Caption This (Alonso & Webber),post-215659,"Aug 5, 2007",AhlgrenGraphics,"[image no longer available],""And there I was, naked with a nosecone up my a$$"",""Ye, know what you mean.""",#18,,NA,NA,NA,NA,15,1,,,NA
Motorsports,Caption This (Alonso & Webber),post-215549,"Aug 4, 2007",MikeJ,"- Did you see the latest pictures they've got on the Sexy Women thread on GCF? One of the girls has a pair of Bridgestones that are at least,big!",#12,post: 215309,"Jun 19, 1978
										
											(Age: 44)","Oulu, Finland",NA,"Accountant, translator","3,242","1,827","Skoda Octavia vRS,Skoda Fabia Combi Sport,Saab 9-3","I'm a lot of things.,Don't ask the world to change - you change first.",NA
Motorsports,2011 F1 proposals,post-202556,"Jun 28, 2007",Porsche Guy,"I usually refrain from posting but I feel the need to step in here. What the FIA is proposing is better than what is currently going on in F1.,First off, downforce and drag are directly proportional as drag is a byproduct of downforce. A steeper wing gives more drag and more downfoce. You can't get rid of drag and increase downfoce. It just doesn't work that way. F1 is all about compromise. Do you create extra drag for the sake of downforce or do  you lose grip for better straight line speed? While I like the extremes teams go to create intricate areo packages, they don't give the spectator a close race and since I'm not racing the car, why should I care about this? I want to be entertained which means I want close racing. What is fun about watching one car stay in the lead the entire race? F1 technology is cool but it has increasingly led to insanely delicate cars in terms of optimum performance. Look at Indy, Alonso couldn't pass Hamilton because he would lose too much grip/downforce while following close enough to pass. When F1 changes the rules in the future, don't think that all of the insane technology we see today is going to disappear. It's going to still be there. It may be focused in other areas than areo packages, but F1 has always been about pushing technology to the limit and it will continue to do so regardless of the rules. Bottom line, F1 in its present form is not a competitive sport. There is one or two teams who dominate the entire season. I want closer racing. I want everyone on the grid to have a chance of winning the race or getting pole position. That just doesn't happen today.,F1 cars are always at the limit of acceptable weight. More costs? F1 is expensive no matter what. AWD could lead to faster cars as they would be able to put down more power sooner coming out of turns. Four wheels break traction less than two. Spec-ing will lead to closer racing.",#8,post: 202084,NA,NA,NA,NA,"1,360","1,021",,,NA
Motorsports,Villeneuve criticises Hamilton starts,post-194896,"Jun 7, 2007",vabboud,"not that i am a crazed hamilton fan, but seems every washed up F1 driver wants to bask 15 minutes in the light by criticizing or parising him,grow up children, stewie is way more mature than you, and he's a 1 year old in a dysfunctional TV family!",#2,,"Oct 14, 1987
										
											(Age: 35)",NA,NA,NA,945,231,,,NA
Motorsports,Ferrari: We're no match for McLaren,post-195580,"Jun 10, 2007",far2000,"Montreal - Ferrari go into Sunday's Canadian Grand Prix hoping for the best but fearing the worst after what team boss Jean Todt called their poorest qualifying performance of the season so far.,Finland's Kimi Raikkonen will start fourth on the grid with Brazilian team-mate Felipe Massa one place behind after championship leaders McLaren secured the top two slots on Saturday.,""This was a very disappointing qualifying session for us, the worst of the season as we were no match for our main rivals,"" said Todt.,""Of course, the points only get given out in the race and tomorrow the key factors will be the usual ones - strategy, reliability, performance and team work, but the overall picture after today is not a favourable one and I hope that changes for the race,"" he added.,Already five points behind McLaren's joint leaders, double champion Fernando Alonso and Lewis Hamilton, Massa tried to keep his hopes up.,""For sure it was not a fantastic qualifying from us,"" said Massa. ""Hopefully we can change some things for tomorrow and hopefully we can have a better result tomorrow in the race, definitely today McLaren was quicker than us.,""We will see the strategy they have and we will try and have a good strategy for tomorrow as well,"" added the Brazilian, winner of two races this season but still five points off the lead.,Raikkonen, in his first season with Ferrari after joining from McLaren as Michael Schumacher's replacement, is 15 points behind his former squad's current duo. He highlighted the different conditions between qualifying and racing.,""Of course I would have preferred to have been further forward on the starting grid but we know we have a competitive car when running at race pace,"" he said. ""As far as today's result is concerned there is always the unknown factor concerning the fuel levels (in qualifying),"" added the Finn.",#1,,,"cape town, south africa",Male,IT Tech,"1,611","1,201","2012 bmw 320i e90,Fiat Uno 1.1,Toyota Tazz 1.3,Toyota Corolla 1.4i,mazda 6 2.3 A dynamic,Astra GTC 1.8,Kia cerato Koup,ANY AMG!!!!",MERCEDES BENZ AMG//: UNRIVALLED PASSION,NA
