section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_mygarage
Aston Martin,Aston Martin posts $41.5m loss amid falling demand,post-663668,"Oct 10, 2013",Sovereign,"Correct analysis. The only difference of opinion I have is about the looks. I have seen several recent Aston Martin cars and I don't find them as attractive as many people and especially the British press make them out to be imo. These cars are good looking but not to the extent the press is touting about. My favorite 2 door Aston is the Volante, Vantage from the 1980s. It had brutal looks.,Besides my subjective analysis of its design, I feel another reason could be that all Aston Martin current models are copy of each other and are based on the original DB7 that came out in 1994 I guess. It is essentially a one model company for the past two decades with some variations in light clusters and engine output.,Even Porsche with the legendary 911 cannot rely on one model. the 911 is unique not only in appearance but because of the drivetrain and hence the driving experience. If Porsche with its much loved 911 need other models to be profitable then how would Aston survive with only DB7 based models which do not offer the unique experience of 911.",#4,post: 663662,NA,Male,Academics,721,753,"VW Beetle,Toyota"
Renault,New Renault Twingo,post-682389,"Feb 13, 2014",meinpolla,,#27,,NA,NA,NA,12,4,
Renault,New Renault Twingo,post-701084,"Jun 20, 2014",marley71,Beautiful car.,#37,,"Austin, TX",Male,NA,721,674,"BMW K75,Rx-7,A6,323,G20,626"
Aston Martin,2011 Aston Martin V8 Vantage S Unveiled,post-506903,"Mar 13, 2011",Michael,"Look at how beautiful this damn car is!,That blue!",#4,,NA,NA,NA,"4,640",662,
Bentley,Bentley EXP 9 F  Concept,post-567751,"Mar 6, 2012",Ollemars,"looks like a collection of design flops.... unbelievably ugly. Luckily, no IMO needed here...",#31,,"Minsk, Belarus",Male,"translation agency, director",56,44,"VW Polo Sedan (2013),2011-2013 VW Golf IV"
Bentley,Bentley EXP 9 F  Concept,post-567649,"Mar 6, 2012",ateekt,Unpardonable!!,#26,,NOVA - USA,Male,NA,"4,479","2,166",
Bentley,Bentley EXP 9 F  Concept,post-567635,"Mar 5, 2012",Sunny,It seriously looks like a chinese knock off.,#23,,SF,Male,Software Engineer,"12,418","15,703","2016 GT4,2011 997.2 GT3,1999 E36 M3,2000 Subaru Legacy GT,1984 VW Rabbit"
Renault,New Renault Twingo,post-701164,"Jun 21, 2014",ZicZachZo,This little thing looks brilliant! Can't wait for reviews.,#45,,United Kingdom,Male,NA,"1,108",520,"2019 VW e-Golf,'90 Mercedes Benz 190E 2.6"
Aston Martin,Mystery buyer allegedly puts in $17M order for ten Aston Martin supercars,post-462465,"May 17, 2010",EMpower,"Old news, I read this last month. Its some sheikh who wants for his personal family fleet.",#5,,USA,NA,NA,"2,093",679,
Aston Martin,"Review: Aston Martin DBS Carbon Black devours suns, spits them out",post-459892,"May 3, 2010",Floydian,"Thanks for sharing the review. That car, there is no other word for it, is awesome.",#2,,Istanbul (Turkey) and Exeter (UK),NA,NA,41,15,"2007 VW Golf GTI DSG, 2010 VW Passat Highline 2.0TDI DSG, 2001 SEAT Leon 1.9TDI Signo.."
Aston Martin,Spy & CGI's - Aston Martin Lagonda,post-469030,"Jun 30, 2010",Gullwing,Aston Martin meets 300C,#6,,Las Vegas,NA,Student,"2,449",812,"1987 190E,2007 E350"
Bentley,Bentley EXP 9 F  Concept,post-568473,"Mar 8, 2012",Iamnotme,A photoshop of a tonned-down version:,#51,,NA,Male,NA,258,519,
Bentley,Bentley EXP 9 F  Concept,post-568705,"Mar 9, 2012",bombardier01,"Seems like they have finally realized now that their SUV isn't pretty. Hopefully the next time they show the concept, its style will be based on the Continental GT.,Bentley Already At Work On Revised SUV Design: Report",#59,,NA,Male,NA,665,"1,340",2006 BMW 320i E90
Bentley,Bentley Prepping Series 51 Continental For Frankfurt,post-420620,"Oct 26, 2009",DaSilva,"I just adore the Continental GT....,To me it is perfect...",#9,,Norway,Male,VW,"5,281","3,509","Passat GTE 2017,VW e-UP!"
Bentley,Bentley Continental GT Hybrid?,post-388128,"Jun 7, 2009",Moses7,"The car was spotted in Spain,Very likely this is a hybrid version that will go on sale already in 2010.,Or what do you think it is?",#1,,NA,NA,NA,44,57,
Bentley,More Chinese Crap: Bentley Continental Flying Spur clone!,post-386651,"May 30, 2009",cawimmer430,"I have an idea.,Let's send this guy back in time to take care of the Chinese car industry.",#7,,"Munich, Germany",NA,"Photographer, Graphic Designer","14,816","13,252",'07 BMW 118i
Bentley,2010 Bentley Arnage Spypics & Info,post-294632,"Apr 21, 2008",Imhotep Evil,"On the contrary, Bentley's an established brand.",#9,,NA,NA,NA,"4,993",513,
Bentley,2010 Bentley Arnage Spypics & Info,post-242016,"Oct 17, 2007",Yperion,I knew you wouldn't resist making a comment.,#4,post: 242014,Greece,NA,Air Traffic Controller,"9,320","2,393","2008 Nissan X-Trail,2004 Audi A4 1.8T"
Bentley,2010 Bentley Arnage Spypics & Info,post-242012,"Oct 17, 2007",CorpusCallosum,the day a bentley arnage looks like that is the day you see me up ontop of a skyscraper singing i believe i can fly...,#2,,"Brisbane, Australia",NA,NA,"1,250",696,"BMW 530i,Ford Falcon XR6"
Bentley,Bentley: Driving in a Winter Wonderland,post-140165,"Jan 17, 2007",Mr. M,"Holy mama! I never knew that. Thanks phaeton...,Where do I sign up.",#6,post: 140031,London/Singapore,NA,Student,"6,814","2,313","Subaru Impreza S204,Miata NA MX-5"
Bentley,Bentley: Driving in a Winter Wonderland,post-140031,"Jan 16, 2007",phaeton,VW do it with the Phaeton too,#2,,Australia,Male,Volkswagen Parts Advisor,"1,668",809,"1961 Volkswagen Karmann Ghia Coupé,1993 Volkswagen Golf Cabriolet,2006 Volkswagen Golf 19 TDI Comfortline (family car),2008 Volkswagen Jetta 2.0 FSI Comfortline,1975 Volkswagen Passat LS wagon"
Bentley,Bentley: Driving in a Winter Wonderland,post-140020,"Jan 16, 2007",Alx,"A 550-horsepower Bentley? A winter vacation in Finland? Sounds like the perfect combination, and the boys at Bentley have got it hooked up with the Bentley Ice Driving Experience.,Plenty of upscale marques offer advanced driving courses to show you how to get the most out of your shiny new toy, but Bentley's program blows snow right in their faces. Professional instructors put participants behind the wheel of an all-wheel-drive Continental GT coupe and ""take you and the car to the limit and safely back again"" on frozen lakes. They'll also throw in some snowmobiling in the snow-blanketed Finnish countryside. After an experience like that, we'd bet black ice and unplowed highways will seem like child's play Check out the details at,[Source: 4DriversOnly via,]",#1,,"Poconos, PA",NA,-Making Power Moves-,"6,306","1,064","2005 Aston Martin DB9,2003 MB CL55 AMG Kleemann STG1"
Bentley,Bentley Azure T Revealed,post-344767,"Nov 12, 2008",Osnabrueck,"It's like a boring luxury wristwatch with four wheels.,Which has its place - it's hard to fault, but I don't understand how so many of you guys are fawning over a totally perfunctory design exercise.",#12,,NA,NA,NA,"2,825",872,
Bentley,Bentley GTC Speed Revealed,post-356660,"Jan 6, 2009",m-power,"[image no longer available],Love that interior",#6,,NA,NA,General Surgeon,"1,016","1,114",BMW 530i
Bentley,2010 Bentley Arnage Spypics & Info,post-385494,"May 25, 2009",josef,is it similar to the continental flying spur?,#40,,NA,NA,NA,4,2,
Bentley,Bentley announces record profits.,post-285310,"Mar 13, 2008",rev,"Mainstream carmakers may be worried about a downturn in the market but the ultra-luxury marques have nothing to fear if current sales levels are anything to go by. Bentley, for example, has posted record sales of 10,014 vehicles for 2007 and this in turn has led to new operating profit record of €155m based on sales of €1.37 billion.,Strong growth in most of Bentley’s major markets as well as a staggering 93% increase in sales in China were the key reasons for the positive results. Even in North America, where the auto industry has slowed, Bentley’s sales were up 4%. Though the bulk of sales were for the entry-level Continental GT, the results were also driven by growth across both the Arnage and new Azure convertible models.,When you consider that just five years ago Bentley was only selling 1,000 vehicles per year, the luxury marque is now on the verge of losing significant brand-cachet. Several reviews have derided the Continental GT for being little more than a VW Phaeton with a bigger engine, while many critics have applauded BMW’s hands-off approach with Rolls Royce.,Source:",#1,,Greece,NA,NA,"1,043",481,
Aston Martin,First Drive: 2008 Aston Martin DBS,post-283625,"Mar 6, 2008",warot,I love this car but do you guys think it's worth over $265k? I think I would probably go for something else even though this is probably the most beautiful car in the world.,#3,,NA,NA,NA,"3,756",930,
Bentley,Bentley Zagato GTZ to Debut in Geneva,post-281388,"Feb 29, 2008",Bruce,"Though not a pretty car by anymeans, I kind of like it. Hideous indeed, but hideously awesome? Haha.",#7,,NA,NA,NA,"11,609","5,020",
Bentley,Bentley Zagato GTZ to Debut in Geneva,post-281384,"Feb 29, 2008",castagna,Hideous looking car,#6,,NA,NA,NA,219,77,
Aston Martin,Aston Martin to build cars outside the UK,post-284020,"Mar 8, 2008",jack,"thx aston martin,after the mini suv the second british car which is going to be built in graz",#8,,"Vienna, Austria",NA,NA,"1,426",786,MINI
Bentley,Bentley sets new Global Sales Record in 2007,post-269343,"Jan 18, 2008",justanthony,"With retail sales of 10,014 units worldwide, Bentley has completed the best year in its history. Overall volume grew by 7%, with increases in almost all major markets: +7% in the UK, +4% in North America, +7% in Europe, +18% in the Asia Pacific region, and +93% in China alone.,In the UK, a record 2079 units were sold in all. In North America, a figure of 4196 units was achieved, despite the prevailing economic climate, and a new record was set in continental Europe with 2166 units. In China, the final sales number was 338 units. In Korea, 100 cars were sold in the first year in that market.",#1,,NA,NA,NA,929,317,
Aston Martin,Aston Martin Rapide pics,post-72825,"Jun 16, 2006",kovachian,"I think Astons are some of the sexiest cars in production. I wouldn't go for a Rapide though, for me it's Vanquish or bust.",#7,,The Malebolge,NA,broke student,264,41,A4 Quattro / 1.8T / 5 speed
Aston Martin,Aston Martin Rapide pics,post-72714,"Jun 16, 2006",wltsm,"Cheers for the pics, this car may not look hugely aggressive, but it is beautiful!,So has it got the green light?",#4,,England,NA,Student,"4,630",534,
Bentley,"First U.S. Bentley Brooklands Coupe Auctioned for $450,000 During Naples Winter Wine",post-273458,"Feb 1, 2008",drronh,"Last year at the Wine Festival the daughter of someone I know won the first Maserati Quattroporte with the automatic delivered to the US- It is wine red with Naples Wine Festival door sills. He has a Carrera GT, a 996 cup car, etc, his son has a 996 GT3.,Bentleys are EVERYWHERE here- we went to a couple of stores last Sunday morning and 4 Bentleys went by in the opposite direction in 10 minutes of driving. It's rare I don't see at least one a day in the 3 miles total I drive to work and home.",#2,,"Naples, Florida",NA,NA,500,158,"RS4 Cab, 997GT3 RS, C6Z06, 3500 Ram dually, 996GT3, Viper GTS, 993TT, turbo 3.6, 9000 aero, 930, 916, 914-6 GT,ML500,Gallardo,996C4S,allroad,Cooper S,C5Z06,Passat GLX,500SEL..."
Bentley,Bentley's new model plan.,post-137676,"Jan 11, 2007",Ultimate Car Guy,This is the same problem Ferrari and Lamborghini is having. But boy is it a good problem to have!,#5,,NA,NA,NA,762,580,"BMW M2 Competition (MY 2020),Volkswagen Tiguan 147TDI Elegance (MY 2021),MINI Cooper (MY 2018),Volkswagen Polo Style (MY 2021),Volkswagen Passat V6 (MY 2001)"
Bentley,Bentley is king of ultraluxury sales in America,post-149315,"Feb 9, 2007",audi_rudy,makes total sense the others are just way to overpriced to sell at the same volume as Bentley,#4,,"Rhode island, USA",NA,high school,"1,674",307,
Bentley,Bentley SUV spy photos?,post-75775,"Jun 27, 2006",YoungWarrior,Oh no not another pointless SUV.,#14,,NA,NA,NA,625,6,
Bentley,Bentley SUV spy photos?,post-75572,"Jun 26, 2006",Deutsch,the prototype you're looking at is not a Bentley SUV but the Panamera.,#7,,L.A.,NA,F1pilot,"6,521","1,194",
Aston Martin,Tycoon Seen Bidding For Aston Martin!,post-129395,"Dec 21, 2006",Choleric,You can expect AM to go into the tank within a year if Tycoon gets his hands on it!,#4,,Great Plains,NA,NA,"3,764","1,770","A4,Audi 90 S"
Bentley,Funny Bentley ad.,post-99580,"Oct 7, 2006",dyna-niet,what is subaru thinkin?,#4,,Netherlands,NA,NA,380,136,
Bentley,Bentley Azure/ Rolls Corniche/Bentley GTC convertibles!,post-39966,"Feb 9, 2006",GTA45E,"The Bentley GTC looks the best imo.,1.,2.",#1,,United States,Male,NA,"7,077","4,558",
Bentley,Bentley Continental GT: Lord of the Bling.,post-33692,"Jan 14, 2006",donau,"Wow, sure looks good. VW may have made some mistakes in recent years but this does not look like one of them.",#2,,NC USA/SW Finland,Male,NA,"1,425",129,"2013 BMW 550i,1972 Chevy Firenza"
Aston Martin,The New Aston Martin DB9 4 Door,post-65470,"May 17, 2006",ALI,"All hail the king .....,S65/////AMG",#11,,"Los Angeles, Ca",NA,CLOTHING BUSINESS,824,232,
Aston Martin,The New Aston Martin DB9 4 Door,post-72892,"Jun 17, 2006",hannaz,No doubt..my choice is only S65 AMG//....,#12,,"Calicut, Kerala, India",Male,Auto-Journalist,"4,354","8,197","Mercedes Benz G-Wagon (300GD, W460),,Royal Enfield Bullet (1958),Mercedes Benz 220D (W115,1968),E250D (W124),E250 (W210),190 (W201)"
Aston Martin,The New Aston Martin DB9 4 Door,post-64423,"May 13, 2006",Chircho,"What about the Maserati Quattroporte? Just based on design, I'd go with the Maserati (as of now) but that DB9 4 door looks really, really sexy. The Porsche will probably have ridiculous handling and also... well, it's a Porsche 4 door! Overall I'd take the S-Class but we really have to see the other two in the metal to have an fair comparison.",#9,,NA,NA,NA,21,0,
Aston Martin,The New Aston Martin DB9 4 Door,post-60095,"Apr 25, 2006",St. Merc,The design already looks dated and old...too similar to every other Aston Martin in the past 5000000 years...need to come up with some new design direction...maybe they have to re-hire ian callum for another company face-lift...,#4,,NA,NA,NA,177,2,
Bentley,Bentley Releases new GTC (GT Convertible),post-9957,"Oct 29, 2005",Carbon,Should be a hot seller back home in SoCal,#11,,"Los Angeles, CA",NA,Student,805,9,
Bentley,Bentley Mansory Continental GT,post-18462,"Nov 26, 2005",YellowMurci,Alex - you really need to get a life!,#6,,NA,NA,NA,9,0,
Bentley,Bentley Releases new GTC (GT Convertible),post-9802,"Oct 29, 2005",Snake Vargas,"IMO, it doesn't help with the green - an odd shade, and hard even for a Bentley to pull off.  The weather's not good, making for a bad impression as well.  But the worst part is the two tone - a Maybach can do it well, because it has special 'panels' or areas on the side for the two tone colour to reside in.  In contrast, this one just looks like a dodgy paint colour selection job, or they couldn't afford to get the proper colour.  Not a good look for your Bentley.,That said, the kit has some charm; not totally puke.  But it is a little overdone, I've said the Conti GT is a little bland before, but I'm not sure this is a better alternative.",#10,,"Sydney, NSW, Australia",NA,NA,"1,251",20,
Bentley,Bentley Releases new GTC (GT Convertible),post-9553,"Oct 28, 2005",Kleemann_SL,"Why the puke man, the car is amazing!,Except the color, should be black!",#5,,NA,NA,NA,493,1,
Aston Martin,Do Aston Martins fly?,post-69185,"May 31, 2006",tobajara,,#1,,Greece Athens,NA,NA,393,173,
Aston Martin,"In detail, Aston Martin Vanquish S",post-72967,"Jun 17, 2006",beckhammania23,"With a maximum speed in excess of 200mph (321km/h) and a 6.0 litre V12 engine developing 520 horsepower, the Vanquish S has been designed to deliver even greater performance, complemented by subtle suspension and steering changes and a number of interior and external style revisions.,More detail and information,[image no longer available]",#1,,Netherlands,NA,NA,454,252,
Aston Martin,The DB9 is on the blocks.,post-81976,"Jul 22, 2006",Lemantech,dang sucks for him,#7,,London,Male,Doc,972,58,"None at the moment.,MK5 GTI"
Aston Martin,The DB9 is on the blocks.,post-82019,"Jul 23, 2006",Vivaki,"I wonder how much the replacements are going to cost him because I read in a UK magazine about a guy who had a DB9 with a dent in his door and to get the door replaced he had to pay £17,500!!!!! Thats $32,500, 25,500 EUROS!!!!! Crazy or what?",#13,,"England, UK",NA,NA,730,681,
Aston Martin,Aston Martin DBS - First Look.,post-43279,"Feb 21, 2006",Porsche Guy,"Looks like a DB9 on steroids, which isn't a bad thing.",#2,,NA,NA,NA,"1,360","1,021",
Aston Martin,The DB9 is on the blocks.,post-81964,"Jul 22, 2006",bum-man,Seems like Mr. 007 didn't see this one coming. With a liscence plate like that he might as well paint a target on his car. Maybe he deserves this.,#5,,NA,NA,NA,"3,576","1,161",
Aston Martin,The New Aston Martin DB9 4 Door,post-60063,"Apr 25, 2006",Mohi,This is a car woth waiting for. I think it will look really good once it comes onto the market.,#1,,Dubai,NA,Businessman,47,1,
Aston Martin,Black AMV8,post-24773,"Dec 18, 2005",Nicholai_AMG,yeaaa first time i see live shots!,#2,,NA,NA,NA,260,6,
Aston Martin,Aston Martin Rapide Concept 2007,post-28907,"Jan 2, 2006",Alwing,"As MikeJ mentioned, Aston Martin had produced a 4-doors in the past before.,Although it's not a pretty one to be honest.,[image no longer available],But the Aston Martin Rapide Concept seems to be more like a 4-doors coupe rather than a sedan.,Sports cars brands like Porsche and Lamborghini are developing a 4-doors coupe, so why not for Aston Martin?",#5,,NA,NA,NA,376,678,
Bentley,"Bentley to recall 1,159 Continental GTs",post-88910,"Aug 28, 2006",dOmInIX,"Wow, this is getting seriuous! Many car makers today recall cars, I'm sick of it! I wouldn't be pleased f I gave 100k € for a car and after some time the factory sees the problem! I think this is because of profit, car makers want to get money as soon as possible and they release new models before many tests! I don't say they don't do these tests but if this is happening, they don't do it properly! And it's really bad for a brand's image, as Roberto already said!",#6,,Croatia,NA,NA,"3,310","1,045",
Aston Martin,"RS4, better then Aston",post-44000,"Feb 23, 2006",Germaniac,"Indeed - really is quite a ridiculous assertion, there's obviously much more to cars than performance alone, and I'd hazard a guess that AM's biggest priority isn't performance, rather something like class, exclusivity, quality, appeal - not only performance.",#3,,"Melbourne, Australia",NA,NA,360,160,
Aston Martin,Aston Martin Rapide Concept 2007,post-29321,"Jan 3, 2006",live4mercedes,i think they want to compete cls and the maseratie quatrroporte,#19,,Tilburg,NA,NA,112,7,1992 SEL 600
Aston Martin,Aston Martin Rapide Concept 2007,post-28900,"Jan 2, 2006",MoSs,HOT!!!!! Go for it aston .,#4,,"Bell California , USA",Male,student,"2,215",844,"2012 991 911 Carrera S,997.2 model"
Aston Martin,Aston Martin Will Most Likley Go Indpendent,post-125643,"Dec 11, 2006",Habitual Speeder,"That sounds about right for Ford...,I used to work for Ford's Customer Service Division...it was one of the most entertaining jobs I've ever had.",#10,post: 125561,"Ottawa, Canada",NA,NA,"1,396",319,"Own: 2005 Honda Civic SE,Drive: Whatever I decide to take off the lot"
Bentley,Bentley Continental GTC Pics.,post-56192,"Apr 12, 2006",sunnyman12,i would like a white coupe but the cabrio is blah,#4,,"London, Ont.",NA,Student,432,78,
Bentley,2010 Bentley Arnage Spypics & Info,post-393374,"Jul 3, 2009",Shining Star,The latest copy from Geely?,#101,,NA,NA,NA,"2,494","2,766",
Bentley,2010 Bentley Arnage Spypics & Info,post-393836,"Jul 6, 2009",Jdt90,hmm it has a classic lok to it but it loks kiddie too. not very serious looking considering its a bentley,#132,,NA,NA,NA,45,6,
Aston Martin,Louis Vuitton to acquire Aston Martin,post-150069,"Feb 11, 2007",mrniall,"That rumour is all over the 'net including a couple of financial sites, I suppose we will just need to wait and see if its true or not.,If true it would make for some interesting optional extras - Moet Chiller - Matching luggage and of course they could make AstonMartin aftershave the options are endless",#29,,Central Scotland,NA,none,52,13,
Bentley,Bentley Havana Spy Shots,post-110207,"Nov 5, 2006",MBZFAN,"The car looks gorgeous and fits especially well with the trend toward large, fast cruisers. It's exciting to see the advent of these newer GT's like the Bentley GT, new Mercedes CL and now the Havana. Regardless of the comparatively fewer sales of these models, the high profitability factor should encourage other manufacturers to bring additional examples to market. THe baby boomers need more toys and these are perfect for larger wallets and larger derrieres.",#19,,USA,Male,NA,173,223,"22 M850i BMW,66 GTO"
Bentley,Bentley Continental GTC - Motor Trend,post-124889,"Dec 9, 2006",neesh,Awesome car... and priced quite well considering!,#2,,Australia,NA,IT,11,7,
Bentley,Bentley by Mansory (Essen 2006),post-122740,"Dec 4, 2006",mercmad,"I like them both, including the colour combo on the GT, but the Flying Spur looks better than it.",#5,,NA,NA,NA,282,140,
Bentley,Bentley by Mansory (Essen 2006),post-122917,"Dec 4, 2006",CAR-NNOSSEUR,"couldn't disagree with you more! I love both these tuners,,Bentley has done a fine job suping them up. I don't know about you but most the people I see driving them in NJ, NY & Philly are between 30 and 45.",#8,post: 122894,New Jersey,NA,Construction,549,16,
Bentley,2010 Bentley Arnage Spypics & Info,post-394022,"Jul 7, 2009",bmw 745d,"Why did they do that, i mean this on is eaven more ugly then the Maybach. BMW makes it properly with the Rolls Royce but Audi or VW did it all wrong. I hope that the designer from the new Bentley will go to hell.,Regard,angry Philipp",#141,,Hanover,NA,NA,213,228,"BMW 535d F11 LCI, BMW 525i E34, BMW 745i E65, Audi A5 Convertible,BMW 535d E61 M Sport,Range Rover TDV8 Vogue,Mercedes E200 CDI Classic"
Bentley,2010 Bentley Arnage Spypics & Info,post-394311,"Jul 8, 2009",PHYBENZ,It looks like a Chinese knockoff...,#151,,NA,NA,NA,"2,819","2,675",1963 Mercedes 220Sb
Bentley,Chrysler 300C Bentley & Rolls-Royce Derivatives,post-213917,"Jul 30, 2007",zetableh,"Giving a bad name to each of the cars involved.  They're not good looking Chryslers, not good looking Bentleys, or not good looking Rolls-Royces.,And I think all of the cars aforementioned are really good looking cars.",#4,,Connecticut/New York,NA,Student (Accounting Major),776,115,"2008 Subaru Impreza 2.5i,5-door, Newport Blue Pearl"
Bentley,2010 Bentley Arnage Spypics & Info,post-393313,"Jul 3, 2009",Sayyaaf,Secretly snapped at the factory .... promising.,#85,,UAE,Male,Director,"5,259","3,920",991.2 Gt3
Bentley,Chrysler 300C Bentley & Rolls-Royce Derivatives,post-213881,"Jul 30, 2007",YoUhimhER,very sad.,#3,,NA,NA,NA,821,221,
Bentley,2010 Bentley Arnage Spypics & Info,post-393348,"Jul 3, 2009",gdm,Looks horrible from these spy photoes.,#97,,NA,Male,NA,613,970,
Aston Martin,Motor Trend - First Drive: 2008 Aston Martin DBS,post-197655,"Jun 15, 2007",El Zorro,"Gorgeous car, stunning interior... although I prefer seeing it in a different color... (black, British Racing Green, ...)",#7,,Belgium,NA,NA,509,472,
Aston Martin,BEAUTIFULL Aston Martin DB9 on ebay.,post-216112,"Aug 7, 2007",astonmartin,Hmm...all Aston Martins are beautiful,#7,,Singapore,NA,NA,92,25,
Bentley,Bentley Flying Spur based on a BMW 7-series,post-217657,"Aug 12, 2007",voriax,"God, that's an insult to both Bentley and BMW..",#5,,"Perth, Australia",NA,NA,36,12,
Bentley,Bentley drops new Brooklands coupe in Geneva,post-160206,"Mar 6, 2007",FasterHigherBetter,"You can't really compare the CGT and this Coupe.,BTW I think it was supposed to be named Havana or some thing like that...",#26,,"Tel Aviv, Israel",NA,NA,110,29,
Bentley,Edmunds Inside Line -  First Drive: 2008 Bentley Continental GT Speed,post-231710,"Sep 18, 2007",flyguy1646,will they produce a gt speed version of the flying spur?,#7,,NA,NA,NA,2,0,
Bentley,Bentley Continental GT Speed & Facelift Thread,post-214407,"Aug 1, 2007",le_rosey,"Damn, Merc were creating CL to be perfect. In my honest opinion it is way better than CL. GT Speed version is an orgasm on road.",#6,,London &amp; Vilnius (Lithuania),NA,NA,101,154,
Bentley,"Chinese “Bentley” to debut next year, priced at $662,244",post-227262,"Sep 7, 2007",notic,"hongqi has a history of about 50 years now, so in the domestic market they do have some political clout as well as brand recognition amongst the locals. i see this is beneficial  for the auto industry in china, it could only spur other makers to improve and gradually come up with original designs and innovative engineering.",#7,,"Vancouver, B.C.",NA,NA,850,151,
Bentley,"Chinese “Bentley” to debut next year, priced at $662,244",post-227237,"Sep 7, 2007",ADGvast,"The japanese do have something ultra-luxury for the senior government officials for more then 30 years and are limited to japan only (never export, not much production per year).   And those vehicle, basically is not / cannot for general market.  The style of them are really ""Japanese""!!!!   I think it is normal that the most senior local gov want something is from local maker instead of buying from foreign.,For the Chinese one, the engine, may is from Audi again (only guessing), since the engine of the current outdated top gov officials vehicle (Hongqi) is also come from Audi (as i remember).  No worry guys, you will never see.",#6,post: 227011,"Sydney NSW, Australia",Male,NA,114,27,
Bentley,"Chinese “Bentley” to debut next year, priced at $662,244",post-226984,"Sep 7, 2007",Anisc,I am just waiting for the Chinese Veyron to come out,#2,,Belgium,NA,NA,152,18,
