section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_birthday,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_car,user_about,user_member_type
Global,A Maserati kind of Corsa,post-69040,"May 31, 2006",Zonda,"Now there will be more ignorant noobs like the FXX fans saying ""it's da faztezt car in da world, duh!  WITHOUT NAAAWWWZZZ!!!"",Of course it's the fastest car in the world because it not even road legal. I hate those kind of noobs.,Nice car nonetheless. I'd rather have an Edo.",#2,,October 25,Scania,Male,Murders & Executions,"5,959","1,408",,"Was born once, still waiting for death,Wild is the Wind",NA
Global,Maserati Gransport,post-64953,"May 15, 2006",Brookside,,#4,,"Feb 4, 1900
										
											(Age: 123)",Brookside,NA,NA,236,38,,Brookside,NA
Global,My Maserati Quattroporte Test Drive.,post-80694,"Jul 17, 2006",Mr. Mercedes,"Thanks for the review and pictures Mirage. Good Job.,This on the other hand is completely unacceptable:,They only get away with it because they are Italian and it can be passed of as a by product of their design flair.",#14,,NA,NA,NA,NA,"9,935","8,765",,,Premium Supporter
Global,My Maserati Quattroporte Test Drive.,post-82257,"Jul 24, 2006",JaBriX,"Wow man congrats !!, btw if you dont mind would you tell us how much was the final price ? I notice you live in Singapore, isnt luxury car price is like triple there compared to European price ?",#22,,,Sydney,NA,NA,52,1,,,NA
Global,Maserati Gransport,post-64939,"May 15, 2006",drronh,"I really like like Maserati has done to freshen up the coupe with the Gransport:,That is until you open the door:",#1,,,"Naples, Florida",NA,NA,500,158,"RS4 Cab, 997GT3 RS, C6Z06, 3500 Ram dually, 996GT3, Viper GTS, 993TT, turbo 3.6, 9000 aero, 930, 916, 914-6 GT,ML500, Gallardo, 996C4S, allroad, Cooper S, C5Z06, Passat GLX, 500SEL...","Current: RS4 Cab, 997GT3 RS, C6Z06, 3500 Ram dually, 996GT3, Viper GTS, 993TT, turbo 3.6, 9000 aero, 930, 916, 914-6 GT,Gone: ML500, Gallardo, 996C4S, allroad, Cooper S, C5Z06, Passat GLX, 500SEL...",NA
Global,Most underestimated luxury sedan?,post-25165,"Dec 19, 2005",Lemantech,I would say the most underestimated luxury car is Jaguar XJ8,#19,,,London,Male,Doc,972,58,"None at the moment.,MK5 GTI,Singer 911",,NA
Global,My Maserati Quattroporte Test Drive.,post-83954,"Aug 2, 2006",Snake Vargas,"Hey, congrats on the car!  Sorry I'm a little late here.,Well, I say, good choice.  A Quattroporte wouldn't really be for me, even if I had the money - I prefer something a little more.. German, if you wish - but I still give it respect!,I suppose I would have chosen a slightly darker exterior colour - to show off those curves more.  Colours too close to black and too close to white seem to hide contours more than intermediate colours, especially metallic and pearlescent paints.  Perhaps something with slightly more ivory might be nice, or indeed, the colour of that Aston.,As for the interior, it's impressive!  I like it a lot.  The rich brown upholstery is just the shade I like, and without that too-shiny look that makes me dislike leather (though it could just be the lighting).  The piano black goes perfectly with the black dash top - provides an interesting point of contrast in texture without being crass (carbon fibre), brash (aluminium) or boringly traditional (woodgrain).,Woodgrain suits some cars, but not the Q'porte Sport GT.  Why get the sporty variant if you're going to do it up like any other luxury car?  Not to mention you've got the Phaeton for that.  Similarly, I like the wheels and the red brake calipers.  They add that sporting touch that really makes the most of the sportiness of the car.,Anyhow, keep us updated on how it goes!",#41,,"Mar 6, 1980
										
											(Age: 43)","Sydney, NSW, Australia",NA,NA,"1,251",20,,Mainly cars and computers,NA
Global,Most underestimated luxury sedan?,post-25063,"Dec 19, 2005",warot,I don't like the looks in the first place so it's hard for me to even liek the car. The front just look way too blunt.,#14,,NA,NA,NA,NA,"3,756",930,,,NA
Global,Most underestimated luxury sedan?,post-25134,"Dec 19, 2005",Alwing,"Very nice car and it looks great in reallife. Pictures don't do justice.,But in my opinion the Maserati Quattroporte is not an underestimated luxury sedan at all, at least not from where I come from.,The most underestimated luxury sedan would definatly be the Volkswagen Phaeton and the Lexus LS430 and the Honda Legend.",#17,,"Nov 14, 1984
										
											(Age: 38)",NA,NA,NA,376,678,,,NA
Global,Paris 2006: Maserati GranSport Contemporary Classic,post-93949,"Sep 16, 2006",siko,"[image no longer available],[image no longer available],Source:,/",#1,,,"Montreal, Canada",NA,"Professional engineer, Grad student","6,523","3,445","BMW 335xi M (E90),BMW 135i M (E82),BMW 325i (E46),BMW 325Ci (E46),VW Jetta GLS (Mk.IV),VW Jetta GL (Mk.III),Porsche 911 GT3 RS",Nam et Ipsa scientia potestas est,NA
Global,Maserati Mistral,post-98471,"Oct 3, 2006",Imhotep Evil,Kind of reminds me of some BMWs due to its rear lights.,#9,,"Jul 7, 1983
										
											(Age: 39)",NA,NA,NA,"4,993",513,,cars. IT. Champions League,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-48329,"Mar 12, 2006",Alx,"They look better in pictures!!!,I saw a few on the road, and the only ones i like are the CambrioCorsa's.",#17,,"Apr 8, 1977
										
											(Age: 46)","Poconos, PA",NA,-Making Power Moves-,"6,306","1,064","2005 Aston Martin DB9,2003 MB CL55 AMG Kleemann STG1,2001 Audi S4 6-Spd MTM,2001 Chevy Corvette Triple Black,2001 Suzuki,Already Got It!!! LOL :)","I ♣ SEALS,Love All Things Exotic, From Cars To Women!,---> The Road to Hell is Paved With Good Intentions....",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47808,"Mar 9, 2006",Top Secret,"They're very hot and cold, Maserati are. The Coupe looks pretty bad, with the droopy front end and baggy sides, but the Quattroporte looks good - on certain angles. And the MC12 is just ugly.",#15,,"Jul 19, 1990
										
											(Age: 32)",NA,NA,NA,876,300,,,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47803,"Mar 9, 2006",Matt,"The quattroporte is nice but it doesnt have any character. I don't see why anyone would buy that considering the other choices they have in a sports sedan.,The Gran Sport is ugly. The proportions are disgusting. Nothing spectacular from Maserati..",#13,,,"Los Angeles, California",NA,Student,"3,136",195,,"Im a college student.,Cars, dirt biking, waterskiing ect.",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47878,"Mar 9, 2006",GTA45E,"Quattroporte get me vote, very nice car. The design is very Italian.",#16,,,United States,Male,NA,"7,090","4,595",,,Premium Supporter
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47760,"Mar 8, 2006",Osnabrueck,"I like the Quattroporte in person. The car is able to pass itself off as something more special than other cars you could have for the same price.,It's just a shame that Buick and others are biting the ""holes/grilles"" on the side look. The Quattroporte is the real deal, but the uninformed might think otherwise.",#10,,"Oct 24, 1977
										
											(Age: 45)",NA,NA,NA,"2,825",872,,What is it with Benzes and knocking things down? -Merc1,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47757,"Mar 8, 2006",bum-man,"The problem I have with the Quattroporte is the front looks too much like a Buick. It even has those portholes on the side, a Buick trademark. I like the interior though.",#9,,"Aug 6, 1985
										
											(Age: 37)",NA,NA,NA,"3,576","1,161",,,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47649,"Mar 8, 2006",zetableh,I saw a Quattroporte the other day on the road.  Beautiful car!,#6,,"May 25, 1986
										
											(Age: 37)",Connecticut/New York,NA,Student (Accounting Major),776,115,"2008 Subaru Impreza 2.5i,5-door, Newport Blue Pearl","I'm a college student.,Building model cars, performing a cappella music",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47740,"Mar 8, 2006",audi_rudy,i gotta say i love the quatroportee (sp) but the other coupe and conv do not really do it for me.  The sedan is just drop dead georgous,#8,,"Nov 9, 1991
										
											(Age: 31)","Rhode island, USA",NA,high school,"1,674",307,,"cars, sports, school, speed skating",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47601,"Mar 8, 2006",Zafiro,"Merc you posted same thread twice. I deleted one of them.,yes Maseratis are nice, I like 3200GT",#2,,"Feb 18, 1976
										
											(Age: 47)",Sweden,Male,Computers,"31,019","15,501",Rear Wheel Drive,"Former GermanCarFans member,Cars, Movies, Jessica Alba,Visit my great photos, follow the link: https://www.flickr.com/photos/126479146@N07/",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47603,"Mar 8, 2006",sunnyman12,i love this car too...its beautiful...if i could afford a nice car on day its this or the ///m5,#3,,"Jun 13, 1986
										
											(Age: 37)","London, Ont.",NA,Student,432,78,,"BMW 4 Ever,F1 and Hockey",NA
Global,Maserati Spyder will have folding roof,post-206911,"Jul 10, 2007",wltsm,"[image no longer available],The new Maserati Spyder will have a folding hardtop, as revealed in this exclusive picture showing the car’s rear and roof undisguised for the first time.,The new Spyder, spotted near Milan by an Autocar reader, is the third and final car to be built on the Quattroporte’s component set. It uses a shortened version of the platform also shared with the Gran Turismo coupe.,Couple that with a space-hungry folding hardtop and the Spyder seems likely to be a strict two-seater.,Source = Autocar",#1,,"Aug 29, 1989
										
											(Age: 33)",England,NA,Student,"4,630",534,,"From GCF,Cars, Electronic products",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47607,"Mar 8, 2006",Yperion,It's nice but i would still take a M5 instead.,#4,,"Jan 2, 1975
										
											(Age: 48)",Greece,NA,Air Traffic Controller,"9,320","2,393","2008 Nissan X-Trail,2004 Audi A4 1.8T,2001 Audi A3 1.6,Lamborghini Gallardo","germancarforum fanatic,Football, Basketball , Video Games and Cars,Why are we afraid of tomorrow when today is all we have?",NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-47641,"Mar 8, 2006",donau,They are really beautiful. The gas mileage is pretty bad though. Something equivalent or close to that of the Hummers.,#5,,"Apr 29, 1954
										
											(Age: 69)",NC USA/SW Finland,Male,NA,"1,425",129,"2013 BMW 550i,1972 Chevy Firenza,1975 Valiant VIP,1960 Ford Anglia,1975 Alfasud,1980 VW Golf,1986 Buick Century,1989 Buick Century,1988 Nissan Sentra,2001 MB E320,2003 MB E320,1989 Porsche 930,1992 GMC vanDura 2500","Automotive History,1989 Porsche 930 - M48 - G64/51",NA
Global,Spy Photos: Maserati Quattroporte-based Coupe,post-102973,"Oct 17, 2006",NarutoRamen,"It's nice, but nowhere near the levels of the CL or the Aston.",#20,,"Mar 19, 1984
										
											(Age: 39)",California,NA,Broke ass college graduate,"11,015","2,531","E92 328i Coupe,My beloved E36 M3, and (B5) A4.,Pagani Zonda_F","Born in India, raised in the US,Cars, Money, chicks, anime and partying",NA
Global,Maserati Quattroporte III & IV,post-149786,"Feb 10, 2007",Nicholai_AMG,"yeah good thread!,my dad had a Quattroporte III 425 Biturbo,I remember the mad noise she did!! great car but too fragile!! and needs a lot of maintenance,here's some details",#13,,NA,NA,NA,NA,260,6,,,NA
Global,Maserati Quattroporte III & IV,post-149710,"Feb 10, 2007",cawimmer430,"The older Quattroporte's were so friggin classy and gorgeous! Especially the,. Beautiful cannot describe that car. I was lusting for that baby during the 1990s. Just beautiful, beautiful!,Mind if I post this on,?",#4,,"Jul 31, 1982
										
											(Age: 40)","Munich, Germany",NA,"Photographer, Graphic Designer","14,816","13,252","'07 BMW 118i,1936 Mercedes-Benz 500K Spezial Roadster","Mercedes-Benz, Photoshop (Digital Imaging), Reading, Dogs, Athletics, Sleeping, Drawing &amp; Eating!!!,CHRISTIAN WIMMER,WIMMERFOTOGRAFIE.de | www.facebook.com/wimmerfotografie | IG: wimmerfotografie",NA
Global,Quattroporte Shattered,post-166452,"Mar 20, 2007",El Zorro,"Seems like a bullet-proof car to me,I'm waiting for the first comparo:,BMW 7 Protection vs. Mercedes S Guard vs. Maserati Quattroporte Shattered,Thanks for posting, but crazy idea",#2,,,Belgium,NA,NA,509,472,,,NA
Global,Record Sales in April for Maserati North America,post-183244,"May 4, 2007",ateekt,"Good news, I think with new coupe, it's gonna be even more,...!,Maserati is casting it's shadows everywhere in the world...!",#5,,March 31,NOVA - USA,Male,NA,"4,479","2,166",,///M-Power... Mean Power!,NA
Global,Report: Maserati dealers to sell Alfas in America?,post-184499,"May 8, 2007",bmer,I hope Alfa-Romeo will soon be enriching the North American street scene.,#2,,September 24,NA,NA,NA,"6,974","2,960",,,NA
Global,Maserati Gran Turismo in The Wild,post-199752,"Jun 20, 2007",andre8,"does anyone think the new granturismo looks like a cheaper version of the aston db9? Im surprised no one has made this comparision yet! i loved the very first pics that  maser released on the car but now as more and more actual pics of the grant in the metal are released, the coupe looks distinctively japanese almost! a little sad i must say as the first teaser pics of the grant in that silver color was amazing! Well, i just hope that the maser granturismo wont end up being labelled as the poor man's DB9",#13,,NA,NA,NA,NA,66,22,,,NA
Global,Maserati GranTurismo,post-153023,"Feb 19, 2007",YoUhimhER,omgosh! it's so hot!,#11,,"Feb 15, 1985
										
											(Age: 38)",NA,NA,NA,821,221,,Have you passed through this night?,NA
Global,Maserati Gransport vs. GranTurismo. Your pick?,post-197112,"Jun 14, 2007",ree,I voted for the GranSport! I really like the design and you can get it has a convertible...,#7,,NA,NA,NA,NA,"11,139","11,209","VW Golf V Variant TDI Bluemotion Sportline,Range Rover TDV8, Bentley Azure T, Bentley Mulsanne, Aston Martin DBS Volante","""Nothing will make a driver more faithful to a car, than a car that is faithful to its driver.""",NA
Global,Maserati GranTurismo,post-153019,"Feb 19, 2007",///K,i like the back....the lights look hottt :|,#7,,NA,NA,NA,NA,838,380,,,NA
Global,Maserati GranTurismo,post-153337,"Feb 20, 2007",Sayyaaf,,#39,,"Aug 30, 1982
										
											(Age: 40)",UAE,Male,Director,"5,259","3,920","991.2 Gt3,991 GTS,Panamera 4S,BMW X6 35i,BMW E66 750Li,BMW M5 F10,Cayman S 981,Classic Porsches",,NA
Global,Maserati GranTurismo,post-153116,"Feb 20, 2007",RikfromBelgium,"looks like a Ford from the back. What is it with the rear of a maserati and cheap cars. The quatroporté looks like a kia from the back, this one like a ford. The rest of it looks nice though.",#25,,"Jul 14, 1984
										
											(Age: 38)",NA,NA,NA,"1,763",796,,FREUDE,NA
Global,Maserati GranTurismo,post-153382,"Feb 20, 2007",rev,It looks really good,#43,,,Greece,NA,NA,"1,043",481,,no signature required,NA
